,date,county,daily_county_confirmed,county_confirmed,daily_state_confirmed,state_confirmed,county_cases_increase,date_cases_contribution,total_cases_contribution,daily_county_deaths,county_deaths,daily_state_deaths,state_deaths,county_deaths_increase,date_death_contribution,total_death_contribution
7549,2020-03-27,Shawnee,1,5,40,213,0.2,0.025,0.023474178403755867,0,0,1,4,0.0,0.0,0.0
7548,2020-03-27,Sumner,0,1,40,213,0.0,0.0,0.004694835680751174,0,0,1,4,0.0,0.0,0.0
7547,2020-03-27,Woodson,0,1,40,213,0.0,0.0,0.004694835680751174,0,0,1,4,0.0,0.0,0.0
7546,2020-03-27,Wyandotte,9,43,40,213,0.20930232558139536,0.225,0.20187793427230047,1,3,1,4,0.3333333333333333,1.0,0.75
7545,2020-03-28,Bourbon,0,3,59,272,0.0,0.0,0.011029411764705885,0,0,2,6,0.0,0.0,0.0
7544,2020-03-28,Butler,0,3,59,272,0.0,0.0,0.011029411764705885,0,0,2,6,0.0,0.0,0.0
7543,2020-03-28,Cherokee,0,2,59,272,0.0,0.0,0.007352941176470589,0,0,2,6,0.0,0.0,0.0
7542,2020-03-28,Clay,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7541,2020-03-28,Coffey,7,8,59,272,0.875,0.11864406779661014,0.029411764705882356,0,0,2,6,0.0,0.0,0.0
7540,2020-03-28,Crawford,0,3,59,272,0.0,0.0,0.011029411764705885,0,0,2,6,0.0,0.0,0.0
7539,2020-03-28,Doniphan,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7538,2020-03-28,Douglas,5,23,59,272,0.21739130434782608,0.0847457627118644,0.08455882352941177,0,0,2,6,0.0,0.0,0.0
7537,2020-03-28,Ford,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7536,2020-03-28,Franklin,4,6,59,272,0.6666666666666666,0.06779661016949153,0.02205882352941177,0,0,2,6,0.0,0.0,0.0
7535,2020-03-28,Gove,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7534,2020-03-28,Harvey,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7533,2020-03-28,Jackson,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7532,2020-03-28,Jefferson,0,1,59,272,0.0,0.0,0.0036764705882352945,0,0,2,6,0.0,0.0,0.0
7531,2020-03-28,Johnson,14,80,59,272,0.175,0.23728813559322035,0.29411764705882354,1,2,2,6,0.5,0.5,0.3333333333333333
7530,2020-03-28,Leavenworth,3,15,59,272,0.2,0.05084745762711865,0.05514705882352941,0,0,2,6,0.0,0.0,0.0
7529,2020-03-28,Linn,0,4,59,272,0.0,0.0,0.014705882352941175,0,0,2,6,0.0,0.0,0.0
